WHO_REGION,ISO_2_CODE,ADM1_NAME,ADM0_NAME,ADM1_CODE,ADM0_CODE,STARTDATE,ENDDATE,GUID,ISO_3_CODE,WHO_CODE,ADM1_ALTNA,ADM1_ALTCO,LVL,WHO_STATUS,UN_CODE,UNICEF_REG,CENTER_LON,CENTER_LAT,ADM1_VIZ_N,ADM0_GUID,NOTES,ADM0_VIZ_N,ADM1_PCODE,ADM0_PCODE,ADM1_SHAPE,ADM0_SHAPE,WHO_SUBREG,GlobalID,CODE,dates,rainfall
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-11-01,3.913097538446125
AFRO,ET,ADDIS ABABA,ETHIOPIA,ET001012000000000000,ET001000000000000000,2019-01-01,9999-12-31,b76c1867-0d84-467b-9dce-b7e6b710ca1a,ETH,ETH,NA,ADD,1,Member state,231,ESARO,38.7876721891,8.97860371203,Addis Ababa,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,e132e550-7ab8-45c0-9d5f-1edbfd19d281,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,fc98f094-9bb6-4e6a-a0ca-d41b1549a3b8,{B76C1867-0D84-467B-9DCE-B7E6B710CA1A},2014-12-01,7.480989882820531
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-01-01,10.46345112462522
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-02-01,13.236452906895044
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-03-01,38.70441970687962
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-04-01,39.53039128095525
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-05-01,39.64143447520159
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-06-01,3.790851093241249
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-07-01,49.93547536121259
AFRO,ET,AFAR,ETHIOPIA,ET001013000000000000,ET001000000000000000,2019-01-01,9999-12-31,394495b9-6cc2-4388-8dd3-caae3bcbbc72,ETH,ETH,NA,AFA,1,Member state,231,ESARO,40.7553868853,12.0287346572,Afar,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,Ethiopia,NA,NA,df20f924-a069-4445-9018-38d18b469d1f,e9f231cb-35e1-467b-8b7c-067df2b9b8f5,NA,ac295e66-6577-4155-9145-20f5bf5b4c0f,{394495B9-6CC2-4388-8DD3-CAAE3BCBBC72},2014-08-01,74.45455829700325
